"rest_id","phrase","pro_con","aspect_type","score"
0,"Ambiance of this place is pretty nice","+","U",5
0,"Ambience was so great","+","U",1
0,"Broth was delicious nonetheless","+","U",9
0,"Feel less uneasy","+","U",7
0,"Food and drinks are prepared","+","U",1
0,"Lychee martini was delicious","+","U",1
0,"Music is funky","+","U",1
0,"My asian friend ordered the shrimp pho and i got the fried sashimi rolls","+","U",1
0,"Of raw fish goodness is always fresh and tasty","+","U",8
0,"Staff's response was attentive","+","U",6
0,"Taste was worth","+","U",10
1,"Biginning of the meal, which is delicious","+","U",9
1,"Cheesecake is very yummy","+","U",1
1,"Food is n't even that good ! most of my friends","+","U",1
1,"Jackie had steak and eggs, which she swears is good","+","U",1
1,"Server shouted over us to get our attention, he did","+","U",5
1,"Service has always been great","+","U",8
1,"The cheesecake is wayyy too rich","+","U",10
1,"The waitress was nice enough, she was n't harassing","+","U",6
1,"They've got sandwiches and salads which are all pretty boring","+","U",1
1,"This particular location is hit","+","U",7
10,"Favorites include 2.75 oysters and short-rib appetizer","+","U",1
10,"It was swanky, romantic, plush dark booths and tables lit with candles","+","U",1
10,"It's sleek with modern lines, tea-lit tables and great lounge music playing","+","U",5
10,"Our waitress, katie, was attentive, chill, and very friendly","+","U",7
10,"Rhone blend wine was incredible and delicious","+","U",9
10,"Service was spectacular","+","U",1
10,"The food was excellent","+","U",1
10,"The food was pretty good","+","U",10
10,"The hollandaise was delicious","+","U",1
10,"The hostess/valet staff always greets you with","+","U",6
10,"The spicy tuna tartare","+","U",8
10,"The steak was awesome","+","U",1
100,"Beef teriyaki was tasty","+","U",10
100,"Bentos was lukewarm and fatty","+","U",8
100,"Dumpling was alright","+","U",1
100,"Friend shrimp dish is delicious","+","U",1
100,"Kimchi was okay","+","U",1
100,"Pork bulgogi was sizzling in a delicious spicy marinade and the beef bibimbap stone pot flavorful and satisfying","+","U",1
100,"Seafood soup left something more to be desired","+","U",1
100,"Staff is very helpful","+","U",5
100,"The stews are pretty good but the meats - kalbi and chicken - are better","+","U",9
100,"They'll seat you otherwise you'll have wait like an idiot at the front","+","U",7
100,"This place has pretty good korean food","+","U",6
101,"Eggs were fluffy, the gruyere, tomato and bacon filling awesome","+","U",1
101,"Food was solid but nothing amazing","+","U",1
101,"Orange juice was absolutely delicious","+","U",1
101,"Our waitress was pleasant","+","U",6
101,"Service is attentive, quick and helpful","+","U",7
101,"The atmosphere inside the place is wonderful, the space is open with high ceilings and large windows allowing maximum","+","U",1
101,"The delicious omelettes really take the cake","+","U",10
101,"The sauce was great","+","U",9
101,"The staff is polite, friendly, and helpful","+","U",1
101,"The tables along the wall are fun","+","U",5
101,"Tomato bisque was awesome","+","U",8
101,"Tuesday special of braised pork and it was awesome","+","U",1
102,"Chicken wrapped in bacon was the tastiest","+","U",1
102,"It was dry","+","U",9
102,"Meat was dull","+","U",1
102,"Non meat buffet is pretty average","+","U",8
102,"Our waitress spoke broken english but was by the most adorable, helpful wait staff i","+","U",6
102,"Salad bar was very uninspiring","+","U",1
102,"The chicken was dry","+","U",10
102,"The food was typical brazilian food","+","U",1
